cod_matricula,max_fecha_plano,max_fecha_sap,id_zre,cod_naturaleza_juridica,naturaleza_juridica,anio,mes,id_usuario
5044774,2024-08-31,2022-06-22,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,8,101
5046073,2024-08-31,2006-05-13,01N,0125,COMPRAVENTA,2024,8,101
5047147,2024-09-30,2018-02-24,01N,0125,COMPRAVENTA,2024,9,101
5047446,2025-01-31,2013-07-10,01N,0125,COMPRAVENTA,2025,1,101
5047707,2024-07-31,2024-01-23,01N,0125,COMPRAVENTA,2024,7,101
5047937,2024-10-31,2009-03-31,01N,0125,COMPRAVENTA,2024,10,101
5048337,2024-06-30,2024-06-18,01N,0125,COMPRAVENTA,2024,6,101
5048611,2025-01-31,2006-09-07,01N,0125,COMPRAVENTA,2025,1,101
5048919,2025-03-31,2006-10-27,01N,0125,COMPRAVENTA,2025,3,101
5050445,2024-10-31,2015-11-10,01N,0109,ADJUDICACION EN SUCESION,2024,10,101
5051530,2024-02-29,2015-07-15,01N,0109,ADJUDICACION EN SUCESION,2024,2,101
5052030,2025-03-31,2023-06-13,01N,0109,ADJUDICACION EN SUCESION,2025,3,101
5052608,2024-04-30,2023-03-15,01N,0125,COMPRAVENTA,2024,4,101
5052910,2024-08-31,2024-08-16,01N,0125,COMPRAVENTA,2024,8,101
5053850,2023-11-30,2007-11-20,01N,0125,COMPRAVENTA,2023,11,101
5055261,2025-03-31,2014-11-21,01N,0125,COMPRAVENTA,2025,3,101
5055405,2024-10-31,2020-01-29,01N,0125,COMPRAVENTA,2024,10,101
5055896,2025-01-31,2012-04-24,01N,0146,RATIFICACION CONTRATO,2025,1,101
5056418,2024-01-31,2024-01-26,01N,0125,COMPRAVENTA,2024,1,101
5057152,2024-12-31,2011-01-31,01N,0125,COMPRAVENTA,2024,12,101
5057449,2024-01-31,2011-12-21,01N,0125,COMPRAVENTA,2024,1,101
5057603,2024-08-31,2013-02-25,01N,0125,COMPRAVENTA,2024,8,101
5058040,2024-08-31,2024-07-29,01N,0125,COMPRAVENTA,2024,8,101
5058747,2024-09-30,2016-11-30,01N,0125,COMPRAVENTA,2024,9,101
5059637,2024-08-31,2016-12-13,01N,0125,COMPRAVENTA,2024,8,101
5060115,2024-07-31,2014-09-30,01N,0125,COMPRAVENTA,2024,7,101
5060647,2024-10-31,2024-04-03,01N,0125,COMPRAVENTA,2024,10,101
5061115,2024-12-31,2007-07-23,01N,0125,COMPRAVENTA,2024,12,101
5062146,2024-12-31,2019-09-19,01N,0125,COMPRAVENTA,2024,12,101
5062505,2024-09-30,2014-05-06,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062508,2024-09-30,2014-05-06,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062511,2024-09-30,2014-05-06,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062514,2024-09-30,2014-10-21,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062517,2024-09-30,2014-10-21,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062520,2024-09-30,2014-10-21,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062523,2024-09-30,2015-07-06,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062526,2024-09-30,2015-07-07,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062529,2024-09-30,2015-07-07,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062532,2024-09-30,2015-07-07,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062535,2024-09-30,2018-08-17,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062538,2024-09-30,2018-08-17,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062541,2024-09-30,2018-08-17,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062544,2024-09-30,2018-08-17,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062547,2024-09-30,2018-08-17,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062550,2024-09-30,2018-08-17,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5062661,2025-03-31,2024-10-31,01N,0125,COMPRAVENTA,2025,3,101
5063299,2025-01-31,2018-01-03,01N,0125,COMPRAVENTA,2025,1,101
5064202,2025-03-31,2019-08-08,01N,0125,COMPRAVENTA,2025,3,101
5065114,2023-11-30,2007-05-25,01N,0109,ADJUDICACION EN SUCESION,2023,11,101
5065909,2024-11-30,2009-06-16,01N,0109,ADJUDICACION EN SUCESION,2024,11,101
5066440,2024-09-30,2021-12-07,01N,0125,COMPRAVENTA,2024,9,101
5068567,2024-11-30,2012-09-06,01N,0125,COMPRAVENTA,2024,11,101
5069334,2024-11-30,2023-05-16,01N,0125,COMPRAVENTA,2024,11,101
5070201,2024-08-31,2023-03-15,01N,0125,COMPRAVENTA,2024,8,101
5071352,2025-01-31,2025-01-23,01N,0125,COMPRAVENTA,2025,1,101
5071599,2024-08-31,2012-08-30,01N,0125,COMPRAVENTA,2024,8,101
5072105,2024-08-31,2007-04-26,01N,0109,ADJUDICACION EN SUCESION,2024,8,101
5072732,2024-08-31,2022-08-02,01N,0125,COMPRAVENTA,2024,8,101
5072936,2024-03-31,2024-03-05,01N,0125,COMPRAVENTA,2024,3,101
5073119,2025-01-31,2017-10-18,01N,0125,COMPRAVENTA,2025,1,101
5073533,2024-07-31,2017-06-07,01N,0125,COMPRAVENTA,2024,7,101
5074402,2025-03-31,2004-07-15,01N,0125,COMPRAVENTA,2025,3,101
5075222,2023-12-31,2018-02-05,01N,0125,COMPRAVENTA,2023,12,101
5075884,2023-12-31,2023-07-27,01N,0125,COMPRAVENTA,2023,12,101
5077382,2025-03-31,2025-02-07,01N,0125,COMPRAVENTA,2025,3,101
5077996,2025-03-31,2023-03-30,01N,0125,COMPRAVENTA,2025,3,101
5078720,2025-01-31,2023-09-15,01N,0125,COMPRAVENTA,2025,1,101
5079231,2024-06-30,2005-07-05,01N,0125,COMPRAVENTA,2024,6,101
5080159,2024-08-31,2024-08-22,01N,0125,COMPRAVENTA,2024,8,101
5080671,2024-06-30,2023-08-29,01N,0125,COMPRAVENTA,2024,6,101
5081048,2023-11-30,2019-06-07,01N,0125,COMPRAVENTA,2023,11,101
5082245,2024-11-30,2020-11-24,01N,0125,COMPRAVENTA,2024,11,101
5083641,2024-09-30,2023-06-27,01N,0144,PERMUTA,2024,9,101
5083780,2025-01-31,2023-12-15,01N,0125,COMPRAVENTA,2025,1,101
5083804,2024-06-30,2004-06-07,01N,0125,COMPRAVENTA,2024,6,101
5083984,2024-12-31,2022-12-28,01N,0125,COMPRAVENTA,2024,12,101
5084722,2024-09-30,2024-07-24,01N,0125,COMPRAVENTA,2024,9,101
5085986,2025-03-31,2017-03-08,01N,0125,COMPRAVENTA,2025,3,101
5086344,2025-03-31,2008-09-09,01N,0125,COMPRAVENTA,2025,3,101
5087140,2024-09-30,2024-03-19,01N,0125,COMPRAVENTA,2024,9,101
5087283,2023-11-30,2018-08-31,01N,0125,COMPRAVENTA,2023,11,101
5087490,2024-12-31,2006-03-06,01N,0109,ADJUDICACION EN SUCESION,2024,12,101
5087681,2024-03-31,2007-09-20,01N,0125,COMPRAVENTA,2024,3,101
5088993,2023-11-30,2006-04-21,01N,0125,COMPRAVENTA,2023,11,101
5090688,2025-03-31,2004-08-30,01N,0109,ADJUDICACION EN SUCESION,2025,3,101
5091155,2025-03-31,2021-05-07,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2025,3,101
5091940,2025-03-31,2008-03-27,01N,0125,COMPRAVENTA,2025,3,101
5092601,2024-09-30,2022-12-21,01N,0125,COMPRAVENTA,2024,9,101
5093593,2024-12-31,2016-01-21,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,12,101
5094057,2023-11-30,2012-05-08,01N,0113,ADJUDICACION LIQUIDACION SOCIEDAD PATRIMONIAL DE HECHO,2023,11,101
5094863,2024-10-31,2017-10-23,01N,0125,COMPRAVENTA,2024,10,101
5094925,2024-12-31,2006-02-16,01N,0125,COMPRAVENTA,2024,12,101
5095249,2024-07-31,2019-04-09,01N,0125,COMPRAVENTA,2024,7,101
5095513,2024-10-31,2019-05-22,01N,0125,COMPRAVENTA,2024,10,101
5095664,2024-10-31,2024-10-28,01N,0168,TRANSFERENCIA DE DOMINIO A TITULO DE LEASING HABITACIONAL DE VIVIENDA FAMILIAR,2024,10,101
5096312,2024-08-31,2007-06-14,01N,0125,COMPRAVENTA,2024,8,101
5097651,2025-02-28,2024-02-05,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2025,2,101
5097978,2023-12-31,2005-04-14,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2023,12,101
5098460,2025-03-31,2005-08-18,01N,0125,COMPRAVENTA,2025,3,101
5098964,2023-12-31,2009-04-24,01N,0125,COMPRAVENTA,2023,12,101
5099399,2024-08-31,2017-01-03,01N,0125,COMPRAVENTA,2024,8,101
5099781,2025-03-31,2005-04-15,01N,0125,COMPRAVENTA,2025,3,101
5100752,2024-12-31,2010-07-26,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,12,101
5101051,2024-05-31,2008-06-24,01N,0125,COMPRAVENTA,2024,5,101
5101781,2023-11-30,2008-02-18,01N,0125,COMPRAVENTA,2023,11,101
5102818,2024-07-31,2020-03-05,01N,0125,COMPRAVENTA,2024,7,101
5103964,2024-07-31,2021-03-27,01N,0125,COMPRAVENTA,2024,7,101
5103982,2025-01-31,2023-11-16,01N,0125,COMPRAVENTA,2025,1,101
5104029,2024-07-31,2022-06-14,01N,0125,COMPRAVENTA,2024,7,101
5104170,2024-11-30,2018-11-13,01N,0125,COMPRAVENTA,2024,11,101
5104324,2025-03-31,2024-10-09,01N,0125,COMPRAVENTA,2025,3,101
5104541,2024-05-31,2024-05-30,01N,0125,COMPRAVENTA,2024,5,101
5105483,2023-11-30,2017-12-27,01N,0113,ADJUDICACION LIQUIDACION SOCIEDAD PATRIMONIAL DE HECHO,2023,11,101
5105690,2023-11-30,2008-10-27,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2023,11,101
5106147,2025-03-31,2009-02-06,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2025,3,101
5106516,2025-03-31,2003-12-04,01N,0125,COMPRAVENTA,2025,3,101
5107509,2025-03-31,2006-09-07,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2025,3,101
5107658,2024-11-30,2022-11-17,01N,0125,COMPRAVENTA,2024,11,101
5108982,2025-01-31,2007-02-02,01N,0125,COMPRAVENTA,2025,1,101
5109494,2024-01-31,2016-10-06,01N,0125,COMPRAVENTA,2024,1,101
5109673,2024-07-31,2024-07-29,01N,0125,COMPRAVENTA,2024,7,101
5109823,2025-02-28,2025-02-25,01N,0125,COMPRAVENTA,2025,2,101
5111179,2024-07-31,2024-07-25,01N,0125,COMPRAVENTA,2024,7,101
5112293,2024-02-29,2024-02-09,01N,0125,COMPRAVENTA,2024,2,101
